                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1304,                 1.0409,                  1.473,                0.84333,                0.76872,                0.84466,                  0.491,                  1.407,                0.91663,                 1.7778,              0.0013039,              0.0013039,              0.0013039
                     36,                 1.1441,                 1.0412,                 1.4867,                0.85696,                0.78814,                0.85751,                0.50898,                 1.4012,                0.87495,                 1.7656,              0.0012929,              0.0012929,              0.0012929
                     37,                 1.1207,                 1.0326,                  1.476,                0.85471,                0.78613,                0.86367,                0.50923,                 1.4054,                0.88011,                 1.7468,              0.0012819,              0.0012819,              0.0012819
                     38,                 1.1291,                  1.029,                 1.4738,                0.86447,                0.79499,                0.86868,                0.50854,                 1.4163,                0.86227,                 1.7436,              0.0012709,              0.0012709,              0.0012709
                     39,                 1.1225,                 1.0052,                 1.4685,                0.84944,                0.79265,                0.86321,                0.50717,                 1.4088,                0.89054,                 1.7418,              0.0012599,              0.0012599,              0.0012599
                     40,                  1.109,                 1.0076,                 1.4586,                0.83356,                  0.796,                0.84696,                0.49517,                 1.4407,                0.87836,                 1.7795,              0.0012489,              0.0012489,              0.0012489
                     41,                 1.0989,                0.96983,                 1.4462,                0.86898,                0.80277,                0.86983,                0.50643,                 1.4266,                 0.8422,                 1.7519,              0.0012379,              0.0012379,              0.0012379
                     42,                 1.1182,                 1.0109,                 1.4676,                0.85495,                0.80843,                 0.8709,                0.49953,                 1.4477,                0.86792,                 1.7913,              0.0012269,              0.0012269,              0.0012269
                     43,                 1.0987,                0.97071,                 1.4452,                0.84458,                0.77135,                0.83652,                0.48532,                 1.4453,                0.87411,                 1.8278,              0.0012159,              0.0012159,              0.0012159
                     44,                 1.1032,                0.98513,                 1.4533,                0.87119,                0.80989,                0.88173,                0.52502,                 1.3692,                0.82414,                 1.7207,              0.0012049,              0.0012049,              0.0012049
                     45,                 1.0785,                 0.9457,                 1.4306,                0.85641,                0.80834,                0.87595,                 0.5231,                 1.3916,                0.83403,                 1.7268,              0.0011939,              0.0011939,              0.0011939
                     46,                 1.0659,                0.93781,                 1.4235,                0.86405,                0.81173,                0.87511,                0.52333,                 1.3934,                0.81277,                 1.7686,              0.0011829,              0.0011829,              0.0011829
                     47,                 1.0758,                0.93593,                 1.4321,                 0.8576,                0.80456,                 0.8736,                0.51829,                 1.4026,                0.82577,                 1.7294,              0.0011719,              0.0011719,              0.0011719
                     48,                 1.0703,                0.94581,                 1.4353,                0.85785,                0.81397,                0.88576,                0.52629,                 1.3915,                0.82442,                 1.7001,              0.0011609,              0.0011609,              0.0011609
                     49,                 1.0703,                0.94047,                 1.4295,                0.88386,                0.79794,                0.88187,                0.52865,                 1.3977,                0.81951,                 1.7194,              0.0011499,              0.0011499,              0.0011499
                     50,                 1.0508,                0.91956,                 1.4093,                0.87456,                0.81877,                0.88976,                 0.5334,                 1.3847,                0.81604,                  1.698,              0.0011389,              0.0011389,              0.0011389
                     51,                 1.0413,                0.91194,                 1.3968,                0.89657,                0.80044,                0.88639,                0.52761,                 1.3847,                0.82517,                  1.716,              0.0011279,              0.0011279,              0.0011279
                     52,                 1.0484,                 0.8975,                 1.4083,                0.85952,                0.82427,                 0.8846,                0.53298,                 1.3617,                0.81312,                 1.6985,              0.0011169,              0.0011169,              0.0011169
                     53,                 1.0239,                0.89143,                 1.3923,                0.88771,                  0.808,                 0.8886,                0.52809,                 1.4159,                0.80883,                 1.7411,              0.0011059,              0.0011059,              0.0011059
                     54,                 1.0322,                0.87414,                 1.3969,                0.87111,                0.81307,                0.87727,                0.51642,                 1.4032,                0.80397,                  1.739,              0.0010949,              0.0010949,              0.0010949
                     55,                 1.0273,                0.88356,                 1.3967,                0.87441,                 0.8164,                0.88788,                0.52844,                   1.39,                 0.7969,                 1.7234,              0.0010839,              0.0010839,              0.0010839
                     56,                 1.0263,                0.88664,                 1.3839,                0.87635,                0.81383,                0.88813,                0.53172,                 1.3536,                0.81165,                 1.6847,              0.0010729,              0.0010729,              0.0010729
                     57,                 1.0222,                0.86517,                 1.3869,                0.87946,                 0.8322,                0.89608,                0.54036,                 1.3759,                0.76093,                 1.7098,              0.0010619,              0.0010619,              0.0010619
                     58,                 1.0045,                0.87485,                 1.3771,                0.88726,                0.81394,                0.88946,                0.52852,                 1.3751,                0.79243,                 1.7176,              0.0010509,              0.0010509,              0.0010509
                     59,                 1.0021,                0.84362,                 1.3757,                0.87487,                0.82347,                0.88633,                0.53531,                 1.3626,                0.79166,                 1.6992,              0.0010399,              0.0010399,              0.0010399
                     60,                 1.0062,                0.85247,                  1.364,                0.88398,                0.82969,                0.89768,                0.53793,                 1.3835,                0.77828,                 1.7015,              0.0010289,              0.0010289,              0.0010289
                     61,                 0.9851,                0.83698,                 1.3547,                0.86757,                0.82393,                0.88989,                0.53109,                 1.3976,                0.79446,                 1.7417,              0.0010179,              0.0010179,              0.0010179
                     62,                 1.0023,                0.84374,                 1.3636,                0.86807,                0.84369,                0.89166,                0.53436,                 1.3927,                0.76245,                 1.7158,              0.0010069,              0.0010069,              0.0010069
                     63,                0.98456,                0.81732,                  1.356,                0.89332,                0.81493,                0.88663,                0.53474,                 1.3913,                0.76698,                 1.7213,             0.00099587,             0.00099587,             0.00099587
                     64,                0.98674,                0.82713,                 1.3534,                0.87371,                0.82373,                0.88107,                0.53011,                  1.386,                0.77983,                 1.7214,             0.00098486,             0.00098486,             0.00098486
                     65,                0.97086,                0.80169,                   1.35,                0.86654,                0.82788,                0.88654,                0.53282,                 1.3938,                0.77617,                 1.7142,             0.00097386,             0.00097386,             0.00097386
                     66,                0.96962,                0.79586,                 1.3437,                0.88027,                0.81979,                0.88537,                 0.5398,                 1.3777,                0.79097,                 1.7143,             0.00096286,             0.00096286,             0.00096286
