                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0261,                 1.2911,                 1.4578,                0.83986,                0.77881,                0.84824,                0.54041,                 1.2432,                0.82858,                 1.5919,               0.008878,               0.008878,               0.008878
                     37,                 1.0137,                 1.2759,                 1.4393,                0.85811,                0.78136,                0.85693,                0.54944,                 1.2488,                0.83449,                 1.5994,               0.008845,               0.008845,               0.008845
                     38,                 1.0185,                 1.2794,                  1.449,                0.84344,                 0.7956,                 0.8484,                0.54058,                 1.2663,                0.82532,                 1.6167,               0.008812,               0.008812,               0.008812
                     39,                  1.004,                 1.2727,                 1.4362,                0.86546,                0.77562,                0.85447,                 0.5407,                 1.2498,                0.81841,                 1.5989,               0.008779,               0.008779,               0.008779
                     40,                  1.009,                  1.258,                 1.4394,                0.84008,                0.78946,                0.85507,                0.54089,                 1.2597,                0.83703,                 1.6008,               0.008746,               0.008746,               0.008746
                     41,                 1.0242,                 1.2901,                 1.4491,                0.84396,                0.78834,                0.85244,                 0.5397,                  1.243,                 0.8506,                 1.5852,               0.008713,               0.008713,               0.008713
                     42,                   1.03,                  1.286,                 1.4522,                0.85164,                0.78818,                0.86031,                0.55113,                 1.2428,                0.82413,                 1.5863,                0.00868,                0.00868,                0.00868
                     43,                 1.0211,                 1.2647,                 1.4464,                0.83887,                0.78995,                0.85984,                0.55118,                  1.243,                0.81694,                 1.5839,               0.008647,               0.008647,               0.008647
                     44,                 1.0159,                 1.2802,                 1.4423,                0.84337,                0.80605,                0.86284,                0.55382,                 1.2518,                0.81735,                 1.5896,               0.008614,               0.008614,               0.008614
                     45,                 1.0137,                 1.2591,                 1.4341,                0.83846,                0.79995,                0.86402,                0.55377,                 1.2542,                0.80796,                 1.6055,               0.008581,               0.008581,               0.008581
                     46,                 1.0128,                 1.2556,                 1.4334,                0.84331,                0.79985,                0.86396,                0.55529,                  1.254,                0.81401,                 1.6084,               0.008548,               0.008548,               0.008548
                     47,                 1.0093,                 1.2504,                 1.4357,                0.85277,                0.79044,                0.86512,                0.55411,                 1.2494,                0.81209,                 1.5972,               0.008515,               0.008515,               0.008515
                     48,                 1.0036,                 1.2479,                 1.4269,                0.85014,                 0.7925,                0.85875,                0.55147,                 1.2485,                0.80635,                 1.6042,               0.008482,               0.008482,               0.008482
                     49,                 1.0082,                 1.2451,                 1.4281,                0.85723,                 0.7997,                0.86905,                0.55555,                 1.2453,                0.78997,                 1.5991,               0.008449,               0.008449,               0.008449
                     50,                0.99902,                 1.2412,                 1.4238,                0.85233,                0.79974,                0.86994,                0.55728,                 1.2421,                0.78754,                 1.5967,               0.008416,               0.008416,               0.008416
                     51,                 0.9926,                 1.2394,                 1.4148,                0.84881,                0.80492,                0.86834,                0.55864,                 1.2393,                0.78811,                 1.5935,               0.008383,               0.008383,               0.008383
                     52,                0.94668,                 1.1529,                 1.3801,                0.84903,                0.80223,                0.86895,                0.56033,                  1.232,                 0.7887,                  1.582,                0.00835,                0.00835,                0.00835
                     53,                0.96916,                 1.1949,                  1.396,                0.85063,                0.78703,                0.86187,                0.55979,                 1.2249,                0.79548,                 1.5739,               0.008317,               0.008317,               0.008317
                     54,                 0.9665,                 1.1874,                  1.393,                0.85833,                0.78027,                0.86223,                 0.5582,                 1.2257,                0.79419,                 1.5777,               0.008284,               0.008284,               0.008284
                     55,                0.95545,                 1.1778,                  1.393,                0.85876,                0.78375,                0.86045,                 0.5562,                 1.2414,                0.79887,                 1.5985,               0.008251,               0.008251,               0.008251
                     56,                0.96282,                 1.1862,                 1.3992,                0.86415,                0.78301,                0.86494,                 0.5591,                 1.2456,                0.80174,                 1.6047,               0.008218,               0.008218,               0.008218
                     57,                 0.9517,                 1.1692,                 1.3845,                0.85302,                0.78694,                0.86165,                0.55798,                 1.2366,                0.79768,                 1.5973,               0.008185,               0.008185,               0.008185
                     58,                0.95447,                 1.1658,                 1.3846,                0.84383,                0.79501,                0.86289,                0.55341,                 1.2382,                 0.7924,                 1.5976,               0.008152,               0.008152,               0.008152
                     59,                0.95029,                 1.1658,                 1.3847,                0.83183,                0.80285,                 0.8625,                0.55435,                 1.2383,                0.78452,                 1.5961,               0.008119,               0.008119,               0.008119
                     60,                0.94357,                 1.1621,                 1.3796,                0.83812,                 0.7997,                0.86314,                 0.5559,                 1.2303,                0.78199,                 1.5878,               0.008086,               0.008086,               0.008086
                     61,                0.94465,                 1.1548,                 1.3799,                0.85277,                0.78631,                0.86625,                0.55568,                 1.2343,                  0.782,                 1.5938,               0.008053,               0.008053,               0.008053
                     62,                0.94004,                 1.1456,                 1.3721,                0.84465,                0.80086,                 0.8662,                0.55819,                 1.2311,                0.77534,                 1.5928,                0.00802,                0.00802,                0.00802
                     63,                0.92965,                 1.1441,                   1.37,                 0.8509,                0.79741,                0.86605,                0.55862,                 1.2356,                0.77278,                 1.6002,               0.007987,               0.007987,               0.007987
                     64,                0.93112,                 1.1366,                 1.3697,                 0.8524,                0.79919,                0.86639,                0.55962,                 1.2334,                0.76914,                 1.6022,               0.007954,               0.007954,               0.007954
                     65,                 0.9264,                  1.131,                 1.3644,                0.85697,                 0.7946,                0.86943,                0.56188,                 1.2341,                0.77139,                  1.604,               0.007921,               0.007921,               0.007921
                     66,                0.92644,                 1.1253,                 1.3611,                0.85116,                0.79981,                 0.8684,                 0.5638,                 1.2336,                0.77124,                 1.6035,               0.007888,               0.007888,               0.007888
                     67,                0.91942,                 1.1168,                 1.3581,                0.84081,                0.81171,                  0.869,                0.56247,                  1.231,                0.76962,                 1.6011,               0.007855,               0.007855,               0.007855
                     68,                0.90911,                 1.1127,                 1.3499,                0.84076,                0.81249,                0.86825,                0.56101,                 1.2353,                0.76886,                 1.6048,               0.007822,               0.007822,               0.007822
                     69,                0.91314,                 1.1176,                 1.3544,                0.84033,                0.80855,                0.86599,                0.56129,                 1.2362,                0.77053,                 1.6051,               0.007789,               0.007789,               0.007789
                     70,                0.90748,                 1.1076,                 1.3505,                0.84205,                0.80291,                0.86306,                0.56028,                  1.238,                0.77016,                 1.6082,               0.007756,               0.007756,               0.007756
